frequency	power
1418.9	0.0006713064170526788
1418.9029296875	0.0006359771083072175
1418.905859375	0.0006279623630876449
1418.9087890625	0.000634493849570277
1418.91171875	0.0006064193314964994
1418.9146484375	0.0006214026861536247
1418.917578125	0.0005500731215605601
1418.9205078125	0.0005505393645928375
1418.9234375	0.0006129216910740337
1418.9263671875	0.0006435377042791992
1418.929296875	0.0005382747777488632
1418.9322265625	0.0004864307967246875
1418.93515625	0.0004897536972248463
1418.9380859375	0.0004902926829045588
1418.941015625	0.0005552918255771244
1418.9439453125	0.0005790925944144637
1418.946875	0.0005566460869385711
1418.9498046875	0.0005226951226159354
1418.952734375	0.0005605542347205896
1418.9556640625	0.0005547801393492676
1418.95859375	0.0005452389541969504
1418.9615234375	0.0005332997632340727
1418.964453125	0.0005111349879876697
1418.9673828125	0.0005430960220839463
1418.9703125	0.0005864898143923981
1418.9732421875	0.0005858885609072724
1418.976171875	0.0006141504232138125
1418.9791015625	0.0006045771816999125
1418.98203125	0.0005336464122595269
1418.9849609375	0.0005218493437932283
1418.987890625	0.0005333097635377319
1418.9908203125	0.0005601423632711641
1418.99375	0.0006138004165058748
1418.9966796875	0.0006106364008295831
1418.999609375	0.0006215294756029336
1419.0025390625	0.0006027766478526865
1419.00546875	0.0006029626522301923
1419.0083984375	0.000634027916530546
1419.011328125	0.0006604448204484714
1419.0142578125	0.0007185491223517871
1419.0171875	0.000743705322280104
1419.0201171875	0.0007319943384740167
1419.023046875	0.0008104735136952894
1419.0259765625	0.0008461740093705758
1419.02890625	0.0008625005583798405
1419.0318359375	0.0008332068845141442
1419.034765625	0.0009035663755417083
1419.0376953125	0.0008815857784666396
1419.040625	0.0007762982115133315
1419.0435546875	0.0008416310201210304
1419.046484375	0.0008697408172053554
1419.0494140625	0.0009130162732265702
1419.05234375	0.0009541158576240172
1419.0552734375	0.0009701611052928313
1419.058203125	0.0010233045115662618
1419.0611328125	0.0010003800755096545
1419.0640625	0.0011525394979351733
1419.0669921875	0.0012234712993114093
1419.069921875	0.0011561493076436952
1419.0728515625	0.0012713694038946914
1419.07578125	0.0012750946297451274
1419.0787109375	0.0011177091490427488
1419.081640625	0.0011614274970994628
1419.0845703125	0.0012091216920352846
1419.0875	0.0012740929639665306
1419.0904296875	0.0013656141506107043
1419.093359375	0.00135371815752379
1419.0962890625	0.0013636637448085048
1419.09921875	0.0014802832809168416
1419.1021484375	0.0015279764364832587
1419.105078125	0.001396463956355519
1419.1080078125	0.0014236661078047266
1419.1109375	0.00155670208305503
1419.1138671875	0.0015549258202814163
1419.116796875	0.001701511510008513
1419.1197265625	0.001831371200560676
1419.12265625	0.001834498938223159
1419.1255859375	0.0018102498720179746
1419.128515625	0.0016782149671314681
1419.1314453125	0.0018289511236416968
1419.134375	0.0019543735212779636
1419.1373046875	0.002017323380221101
1419.140234375	0.0019776317729333836
1419.1431640625	0.0021783119221244493
1419.14609375	0.0021027355610853267
1419.1490234375	0.002447292961645746
1419.151953125	0.0024694195062078123
1419.1548828125	0.0023005322976802673
1419.1578125	0.0021629484819323734
1419.1607421875	0.0022812568604886306
1419.163671875	0.002402625737348434
1419.1666015625	0.0025361492054246076
1419.16953125	0.0023256186690319577
1419.1724609375	0.0024599501519465042
1419.175390625	0.0024269173098016216
1419.1783203125	0.002520866782752358
1419.18125	0.0026652737476789232
1419.1841796875	0.00310172432716278
1419.187109375	0.002947659785497072
1419.1900390625	0.0029841279388802783
1419.19296875	0.0029534325552587524
1419.1958984375	0.002675909413732803
1419.198828125	0.002909433155315173
1419.2017578125	0.003179396106867923
1419.2046875	0.0029404048884240047
1419.2076171875	0.002998265111435014
1419.210546875	0.0030436768185899917
1419.2134765625	0.003048724767143095
1419.21640625	0.0033269580183631978
1419.2193359375	0.0030849649694132913
1419.222265625	0.0030931239342801152
1419.2251953125	0.0032910805884041644
1419.228125	0.0033916160705566236
1419.2310546875	0.0032127851412144027
1419.233984375	0.0029841870059665516
1419.2369140625	0.0037822945267365657
1419.23984375	0.003386171642125575
1419.2427734375	0.0033996268287778486
1419.245703125	0.0034615243486551556
1419.2486328125	0.0035075550668500666
1419.2515625	0.0037549928233688436
1419.2544921875	0.0039880202903232066
1419.257421875	0.004157632372238221
1419.2603515625	0.0038297195008688742
1419.26328125	0.003908652959291093
1419.2662109375	0.003942397863497718
1419.269140625	0.003742075270777931
1419.2720703125	0.003776079726259268
1419.275	0.004372658978154896
1419.2779296875	0.004541776289149768
1419.280859375	0.004386603951114157
