frequency	power
1418.9	0.0016543152623430112
1418.9029296875	0.001659031407605781
1418.905859375	0.0016422768977364267
1418.9087890625	0.0014763685183974376
1418.91171875	0.0013835703531798838
1418.9146484375	0.001527026753709496
1418.917578125	0.0014933326725541716
1418.9205078125	0.001464810876577749
1418.9234375	0.0014306651120969938
1418.9263671875	0.0012674503787305207
1418.929296875	0.001266719969801648
1418.9322265625	0.0013565236485886933
1418.93515625	0.0011773963269513098
1418.9380859375	0.0012571483216508945
1418.941015625	0.0012851683597676355
1418.9439453125	0.0012560824262802025
1418.946875	0.0013268593863880083
1418.9498046875	0.0013087246300922015
1418.952734375	0.0013046326218090144
1418.9556640625	0.0013373666000101245
1418.95859375	0.0013941302852736213
1418.9615234375	0.001315884868041503
1418.964453125	0.001359158819899391
1418.9673828125	0.0013954106616530329
1418.9703125	0.0013105380859043693
1418.9732421875	0.0012608143426668325
1418.976171875	0.0013102583681658137
1418.9791015625	0.001318918256668902
1418.98203125	0.0013722036716766286
1418.9849609375	0.001367595043046199
1418.987890625	0.001494822140089428
1418.9908203125	0.001569016299903399
1418.99375	0.001673933950089
1418.9966796875	0.001685234611875558
1418.999609375	0.001559082040959632
1419.0025390625	0.0015680138156124587
1419.00546875	0.0017343743401483556
1419.0083984375	0.0019392818153921246
1419.011328125	0.0018024128196840318
1419.0142578125	0.0015821751552614713
1419.0171875	0.00184653303638205
1419.0201171875	0.001838342054327791
1419.023046875	0.0019315005985335084
1419.0259765625	0.002051068788911392
1419.02890625	0.001974650350800645
1419.0318359375	0.0020568711999475867
1419.034765625	0.0020976473985224895
1419.0376953125	0.001951352396724193
1419.040625	0.0020057842709720443
1419.0435546875	0.0021613654273275906
1419.046484375	0.0023033436976273294
1419.0494140625	0.002570639148431517
1419.05234375	0.0025624944471498395
1419.0552734375	0.0026607977321442006
1419.058203125	0.002587762848008493
1419.0611328125	0.002401437273010344
1419.0640625	0.00284353677211396
1419.0669921875	0.0028182520989643413
1419.069921875	0.002783376438849547
1419.0728515625	0.002765657227270832
1419.07578125	0.0028199589486955566
1419.0787109375	0.0031546736466649397
1419.081640625	0.0032948790279708783
1419.0845703125	0.0032700489242218243
1419.0875	0.003252876858133591
1419.0904296875	0.0031341324605313158
1419.093359375	0.0034990643961541872
1419.0962890625	0.003553515351847286
1419.09921875	0.003665426022084776
1419.1021484375	0.003660733157091177
1419.105078125	0.0034455868040908543
1419.1080078125	0.0035585256979054694
1419.1109375	0.003830409516345918
1419.1138671875	0.004100557702987657
1419.116796875	0.0038243636139966126
1419.1197265625	0.00390850384737845
1419.12265625	0.004292994441835465
1419.1255859375	0.004429800662996633
1419.128515625	0.004258737065047075
1419.1314453125	0.004393077872639513
1419.134375	0.004607435324722032
1419.1373046875	0.005192703325418795
1419.140234375	0.005182736167642887
1419.1431640625	0.004966801920241462
1419.14609375	0.005171177360446793
1419.1490234375	0.004878686244276377
1419.151953125	0.00475769403164248
1419.1548828125	0.005459673727354818
1419.1578125	0.005624881455710198
1419.1607421875	0.005922345363278702
1419.163671875	0.005808160014844186
1419.1666015625	0.00554011922244829
1419.16953125	0.005936855516453093
1419.1724609375	0.006726254455007049
1419.175390625	0.0065053913391220726
1419.1783203125	0.005942491885605265
1419.18125	0.005858927918924033
1419.1841796875	0.006439030730076619
1419.187109375	0.007106409869649929
1419.1900390625	0.006765801235778377
1419.19296875	0.006651281338632879
1419.1958984375	0.006516455316073581
1419.198828125	0.007075275203862748
1419.2017578125	0.007306991244421051
1419.2046875	0.007101086707945736
1419.2076171875	0.007271464847104259
1419.210546875	0.007188542206300724
1419.2134765625	0.007526123223580337
1419.21640625	0.007984660759475843
1419.2193359375	0.0077549053560518255
1419.222265625	0.007973725469027916
1419.2251953125	0.009168986917406568
1419.228125	0.009624570557685393
1419.2310546875	0.008514877086339684
1419.233984375	0.008415934853712377
1419.2369140625	0.008388513944618084
1419.23984375	0.009807216164057764
1419.2427734375	0.009999298655160404
1419.245703125	0.00880876982737473
1419.2486328125	0.010069815056891808
1419.2515625	0.01060942967550669
1419.2544921875	0.009723471689578978
1419.257421875	0.010287421490868032
1419.2603515625	0.010190298821675138
1419.26328125	0.010280296535544315
1419.2662109375	0.010585851343227419
1419.269140625	0.010579333360694535
1419.2720703125	0.010563771201091482
1419.275	0.01020054061837966
1419.2779296875	0.011318730356998851
1419.280859375	0.010869326909949002
1419.2837890625	0.010545489931166302
1419.28671875	0.012003826182106755
1419.2896484375	0.01130641892205444
1419.292578125	0.011553630874694095
1419.2955078125	0.01181205559732726
1419.2984375	0.012309030366828684
1419.3013671875	0.013167442446908748
1419.304296875	0.012212874161961727
1419.3072265625	0.011169798245497521
1419.31015625	0.012922322767030517
1419.3130859375	0.013359927159230185
1419.316015625	0.012843480306823207
1419.3189453125	0.01142290139318102
1419.321875	0.01265740474448932
1419.3248046875	0.013411155919197629
1419.327734375	0.01362004801164271
1419.3306640625	0.012414093302971893
1419.33359375	0.012399138507124161
1419.3365234375	0.013067729855578854
1419.339453125	0.014800131659282035
1419.3423828125	0.014576611719318953
1419.3453125	0.013625176592279927
1419.3482421875	0.01184887041682447
1419.351171875	0.01203060182666147
1419.3541015625	0.015131438985239831
1419.35703125	0.015118959989192172
1419.3599609375	0.01299132350950064
1419.362890625	0.013049016542182067
1419.3658203125	0.012740925216942357
1419.36875	0.01327401287892645
1419.3716796875	0.013654961029743567
1419.374609375	0.014877085574395895
1419.3775390625	0.014866159581867844
1419.38046875	0.014741065928494761
1419.3833984375	0.014071327421944566
1419.386328125	0.013970668272436561
