frequency	power
1418.9	0.000610650698379141
1418.9029296875	0.0005778758710224505
1418.905859375	0.0005534759710512896
1418.9087890625	0.0005401703007755061
1418.91171875	0.0005614816365529871
1418.9146484375	0.0005894944251415351
1418.917578125	0.000563088582375568
1418.9205078125	0.0005494285472358376
1418.9234375	0.0005170443842667838
1418.9263671875	0.0005393183559703092
1418.929296875	0.0005246171308477496
1418.9322265625	0.0005079916221027835
1418.93515625	0.0004870089383518265
1418.9380859375	0.0004702631454178087
1418.941015625	0.0004668781276812069
1418.9439453125	0.00044259397903295233
1418.946875	0.000497816488123542
1418.9498046875	0.00049422155128334
1418.952734375	0.0004295806185968736
1418.9556640625	0.00045037233317106104
1418.95859375	0.0004852807270595077
1418.9615234375	0.0005478582975436009
1418.964453125	0.0005054908686349904
1418.9673828125	0.0005464353879510241
1418.9703125	0.0005301314424886888
1418.9732421875	0.000528023409745185
1418.976171875	0.000558113496693678
1418.9791015625	0.0005467805235108526
1418.98203125	0.0005742071664210668
1418.9849609375	0.0005617994352175548
1418.987890625	0.0005506365362802318
1418.9908203125	0.0005632637775033087
1418.99375	0.0005673451746331883
1418.9966796875	0.0006382241229688734
1418.999609375	0.0005961736045823976
1419.0025390625	0.0006001370704483064
1419.00546875	0.0006028547948946622
1419.0083984375	0.000651309402990568
1419.011328125	0.0006746480915958296
1419.0142578125	0.0007099650160485037
1419.0171875	0.0007411410872838345
1419.0201171875	0.0007177810940293964
1419.023046875	0.0006544772422775063
1419.0259765625	0.0007640680319105945
1419.02890625	0.0007927895104499371
1419.0318359375	0.0007904536975938927
1419.034765625	0.0008425075091742799
1419.0376953125	0.0008628501477379953
1419.040625	0.0008554273284697223
1419.0435546875	0.0008907520392841064
1419.046484375	0.0008448165341769427
1419.0494140625	0.0008464557147321515
1419.05234375	0.0008730324452484663
1419.0552734375	0.0008309256028491147
1419.058203125	0.000991884433768305
1419.0611328125	0.0010749974838102534
1419.0640625	0.0010473850928155164
1419.0669921875	0.0010485417707819487
1419.069921875	0.0010717665802536097
1419.0728515625	0.0011085056060864053
1419.07578125	0.0011150924805538337
1419.0787109375	0.0010719181081103228
1419.081640625	0.0011847246219318759
1419.0845703125	0.001289132804518579
1419.0875	0.0013389221867128695
1419.0904296875	0.00129402481482689
1419.093359375	0.0012476469223580994
1419.0962890625	0.0011790360053830237
1419.09921875	0.0013258031834913456
1419.1021484375	0.0015005272961068914
1419.105078125	0.0015868925231155944
1419.1080078125	0.0014859457484528826
1419.1109375	0.001406113318775816
1419.1138671875	0.0015730675187918095
1419.116796875	0.0014460303337511108
1419.1197265625	0.0014764431738622692
1419.12265625	0.0016104641599576943
1419.1255859375	0.0018117231213908346
1419.128515625	0.001659836772918107
1419.1314453125	0.0016920071193771652
1419.134375	0.001788279270455386
1419.1373046875	0.001810527553136189
1419.140234375	0.0018566124998988867
1419.1431640625	0.0018762443919687988
1419.14609375	0.0019943260570663675
1419.1490234375	0.002002765564857081
1419.151953125	0.0018809375468855666
1419.1548828125	0.002075762045810707
1419.1578125	0.0022757268839490668
1419.1607421875	0.0021760514857370405
1419.163671875	0.0023337652147836837
1419.1666015625	0.0024822482799708077
1419.16953125	0.0024006575537260664
1419.1724609375	0.0022489854043808385
1419.175390625	0.002285174079753693
1419.1783203125	0.0024230568270496456
1419.18125	0.002466230021767296
1419.1841796875	0.002357139097766693
1419.187109375	0.002640171082920739
1419.1900390625	0.003197264427845897
1419.19296875	0.0032796031378290636
1419.1958984375	0.0030673737429502503
1419.198828125	0.002904029758846142
1419.2017578125	0.002870650294809693
1419.2046875	0.0028079694993204305
1419.2076171875	0.002826792400570371
1419.210546875	0.0028271999261319236
1419.2134765625	0.003055354317322352
1419.21640625	0.0032033184621247657
1419.2193359375	0.0031778922225146867
1419.222265625	0.0029729216874846303
1419.2251953125	0.002825490756195572
1419.228125	0.0031415796951721814
1419.2310546875	0.003564305491919357
1419.233984375	0.003928876716928377
1419.2369140625	0.003476261738479086
1419.23984375	0.003194625917393095
1419.2427734375	0.0034196353688934317
1419.245703125	0.0035291391810990864
1419.2486328125	0.003837289960301599
1419.2515625	0.00365373799004273
1419.2544921875	0.0034408710401904654
1419.257421875	0.003593329538451157
1419.2603515625	0.0036955373863191794
1419.26328125	0.0038407513867124905
1419.2662109375	0.00383917702928099
1419.269140625	0.0038191268218642116
1419.2720703125	0.003947383946414424
1419.275	0.003922675005855011
1419.2779296875	0.0040451857405550875
1419.280859375	0.003976332410967568
1419.2837890625	0.003532471907852492
1419.28671875	0.004110481196880408
1419.2896484375	0.004296886867654137
1419.292578125	0.004418114669663782
1419.2955078125	0.003974438436443125
1419.2984375	0.004049702796422088
1419.3013671875	0.004534910144730005
1419.304296875	0.004103893052720808
1419.3072265625	0.0040570231685519865
1419.31015625	0.0037069375587232283
1419.3130859375	0.0042518514448685145
1419.316015625	0.004687907139550474
1419.3189453125	0.0049522724386057764
1419.321875	0.005018318689729123
1419.3248046875	0.004509335059032483
1419.327734375	0.004373931125664246
1419.3306640625	0.004329163995248994
1419.33359375	0.004395383894001254
1419.3365234375	0.00482412701267354
1419.339453125	0.004983319753457077
1419.3423828125	0.004960207846752993
1419.3453125	0.004629595410557397
1419.3482421875	0.005156396189039586
1419.351171875	0.004944124394193202
1419.3541015625	0.004853057610026961
1419.35703125	0.004438404763409509
1419.3599609375	0.005177560879180867
1419.362890625	0.005172605537599745
1419.3658203125	0.005084910339920129
1419.36875	0.005455774870064295
1419.3716796875	0.005449400546601663
1419.374609375	0.005083818198546284
1419.3775390625	0.005820847886754763
